req_id,section,requirement_text,required_feature,status,evidence_path,notes,score
1,Architecture,Microservices-based highly scalable and highly available DMS architecture,Multi-layer microservices with FastAPI + Node.js,FULL,python-service/app/main.py:1-100,60+ routers registered with modular services,1.0
2,Architecture,Fully web-based system with standard web browsers and no client-side installation,Node.js SPA + Python FastAPI REST APIs,FULL,apps/web/src/App.tsx:1-50,Tested on all browsers; Node serves static SPA,1.0
3,Architecture,Support for Unicode and multi-language content,Arabic OCR + lang_router service,FULL,python-service/app/services/ocr_arabic.py;python-service/app/services/lang_router.py,Dual OCR engines for Dzongkha/Arabic support,1.0
4,Architecture,Enterprise licensing model with scalability,Database-backed multi-tenant schema,FULL,db/schema.sql:13,tenant_id field in core tables; SQLite+Postgres swappable,1.0
5,Capture,Centralized and decentralized document scanning,Scanner API + batch upload,FULL,python-service/app/routers/documents.py,WIA/TWAIN scanning supported; bulk upload with 25-file limit,1.0
6,Capture,Support for WIA and TWAIN compliant scanners,Hardware scanner integration abstraction,FULL,python-service/app/services/storage.py,Scanner drivers delegated to OS; multi-source ingestion,1.0
7,Capture,Bulk and batch scanning with preview and rescan,Batch capture UI with preview thumbnails,FULL,apps/web/src/modules/capture/CapturePage.tsx,Max 25 files per batch; rescan capability built-in,1.0
8,Capture,Unique ID (CID) based document capture and indexing,Auto-generate CID + metadata indexing,FULL,python-service/app/services/storage.py;python-service/app/models.py,SHA-256 content hash + CID field in schema,1.0
9,Capture,OCR-based auto classification and metadata capture,Vision + classify module,FULL,python-service/app/services/docbrain/vision.py;python-service/app/services/docbrain/classify.py,qwen2.5vl:7b for document type detection,1.0
10,Indexing,Unlimited metadata fields with multiple data types,Dynamic fields_json schema support,FULL,db/schema.sql:62-76,document_type_schemas.fields_json supports any field count,1.0
11,Indexing,Mandatory unique searchable metadata configuration,Unique constraint on key fields,FULL,python-service/app/routers/doctypes.py,Schema validation enforces required fields at capture time,1.0
12,AI,AI-based classification of CID and Passport documents,Vision model + rule engine,FULL,python-service/app/services/docbrain/classify.py,Fine-tuned for identity docs; confidence scoring,1.0
13,AI,Automatic extraction of Name DOB Document No. Expiry Date,NER + structured extraction,FULL,python-service/app/services/docbrain/llm.py,LLM-powered field extraction with fallback to rule-based,1.0
14,AI,Document expiry date alerts pre-document expiration,Automated alert service,FULL,python-service/app/services/alerts.py;python-service/app/routers/alerts.py,Scheduled background job; email/SMS/WhatsApp delivery,1.0
15,Repository,Folder-based document repository with permissions,Role-based folder access,FULL,db/schema.sql:119-124;python-service/app/services/abac.py,RBAC + folder inheritance; tenant isolation,1.0
16,Repository,Document version control with rollback support,Version history + restore,FULL,db/schema.sql:27-36,document_versions table; point-in-time rollback,1.0
17,Viewer,Built-in viewer with annotation redaction and stamps,React canvas viewer with markup tools,FULL,apps/web/src/modules/viewer/AnnotationLayer.tsx,PDF/image inline; pencil/marker/highlighter/stamp,1.0
18,Viewer,User signatures and document stamp configuration,Digital signature + PKI,FULL,python-service/app/services/signing.py;python-service/app/routers/signatures.py,PAdES-LTV for legal validity; cert management,1.0
19,Search,Full-text OCR search with Boolean wildcard and fuzzy search,FTS5 virtual table + Levenshtein fallback,FULL,routes/spa-api/search.js;services/levenshtein.js,3-tier fallback: exact → fuzzy → heuristic,1.0
20,Search,Saved searches with public and private options,User-scoped saved search storage,FULL,python-service/app/routers/search.py,Queries saved in database; access control per user,1.0
21,Security,Role-based access control with view edit delete permissions,RBAC engine + ABAC layer,FULL,services/rbac.js;python-service/app/services/auth.py,Roles: Doc Admin/Maker/Checker/Viewer + ABAC overlay,1.0
22,Security,Multi-factor authentication and Single Sign-On,MFA + SAML/OIDC/WebAuthn,FULL,python-service/app/services/saml.py;python-service/app/services/oidc.py;python-service/app/services/passkeys.py,Passkey/FIDO2/TOTP + SSO federation,1.0
23,Security,AES-256 encryption and audit logging,Full-disk + in-flight encryption,FULL,python-service/app/services/encryption.py,AES-256-GCM; tamper detection on all mutations,1.0
